ticker
AAPL
ABBV
ABT
ADBE
AMD
AMGN
AMZN
AVGO
BAC
BRK-B
CMCSA
COST
CRM
CSCO
CVX
GOOGL
HD
HON
INTC
INTU
JPM
KO
LIN
LLY
LOW
MA
MCD
META
MRK
MS
MSFT
NEE
NFLX
NKE
NVDA
ORCL
PEP
PFE
PG
PM
QCOM
RTX
SPY
TMO
TXN
UNH
UNP
UPS
V
WMT
XOM
